ev,measured spectrum,ev,retrived spectrum,ev,retrived spectrum dipole corrected,retrived spectrum phase dipole corrected
141.565,1.01286851910303,57.70911,-0.01,57.74,0,43.08
142.565,0.999627450408876,57.961974,-0.01,58,0,42.8399999999999
143.565,0.960233806323793,58.214838,-0.01,58.25,0,42.7
144.565,0.984584776129129,58.467702,-0.01,58.5,0,42.56
145.565,0.994852463247048,58.720566,-0.01,58.76,0,42.42
146.565,0.980293146563437,58.97343,-0.01,59.01,0,42.28
147.565,0.98116465495647,59.226294,-0.01,59.26,0,42.0399999999999
148.565,1.00465876356866,59.479158,-0.01,59.51,0,41.9
149.565,1.05978350032798,59.732022,-0.01,59.77,0,41.76
150.565,1.05821624994051,59.984886,-0.01,60.02,0,41.62
151.565,1.06953853545,60.23775,-0.01,60.27,0,41.48
152.565,1.02017014824466,60.490614,-0.01,60.53,0,41.34
153.565,1.02310691182118,60.743478,-0.01,60.78,0,41.2
154.565,1.01937919945098,60.996342,-0.01,61.03,0,41.06
155.565,1.02295311622241,61.249206,-0.01,61.28,0,40.92
156.565,0.985756552119762,61.50207,-0.01,61.54,0,40.78
157.565,0.964313051491183,61.754934,-0.01,61.79,0,40.54
158.565,0.995394409642716,62.007798,-0.01,62.04,0,40.4
159.565,0.933898140934323,62.260662,-0.01,62.3,0,40.26
160.565,0.899367367210366,62.513526,-0.01,62.55,0,40.12
161.565,0.914388070690289,62.76639,-0.01,62.8,0,39.98
162.565,0.851771291190854,63.019254,-0.01,63.05,0,39.84
163.565,0.855250001163045,63.272118,-0.01,63.31,0,39.7
164.565,0.841745282871003,63.524982,-0.01,63.56,0,39.46
165.565,0.792611250863785,63.777846,-0.01,63.81,0,39.32
166.565,0.779633831767528,64.03071,-0.01,64.07,0,39.18
167.565,0.74454646444802,64.283574,-0.01,64.32,0,39.04
168.565,0.739947243684786,64.536438,-0.01,64.57,0,38.9
169.565,0.746348070033617,64.789302,-0.01,64.82,0,38.76
170.565,0.67344895621638,65.042166,-0.01,65.08,0,38.52
171.565,0.700473040000347,65.29503,-0.01,65.33,0,38.38
172.565,0.68472730012622,65.547894,-0.01,65.58,0,38.24
173.565,0.719609606647368,65.800758,-0.01,65.84,0,38.1
174.565,0.737391307305219,66.053622,-0.01,66.09,0,37.96
175.565,0.730382622161247,66.306486,-0.01,66.34,0,37.82
176.565,0.692519610463928,66.55935,-0.01,66.59,0,37.58
177.565,0.676737252590093,66.812214,-0.01,66.85,0,37.44
178.565,0.653543411575507,67.065078,-0.01,67.1,0,37.3
179.565,0.607287554345282,67.317942,-0.01,67.35,0,37.16
180.565,0.641752415669766,67.570806,-0.01,67.61,0,36.92
181.565,0.599963954403827,67.82367,-0.01,67.86,0,36.78
182.565,0.587462569303764,68.076534,-0.01,68.11,0,36.64
183.565,0.58024149976149,68.329398,-0.01,68.36,0,36.5
184.565,0.557677488341869,68.582262,-0.01,68.62,0,36.36
185.565,0.536827199308549,68.835126,-0.01,68.87,0,36.12
186.565,0.56488391068426,69.08799,-0.01,69.12,0,35.98
187.565,0.50465462476574,69.340854,-0.01,69.38,0,35.84
188.565,0.526911044987819,69.593718,-0.01,69.63,0,35.7
189.565,0.508060098738516,69.846582,-0.01,69.88,0,35.46
190.565,0.495287740440619,70.099446,-0.01,70.13,0,35.32
191.565,0.497360319224051,70.35231,-0.01,70.39,0,35.18
192.565,0.463547258294356,70.605174,-0.01,70.64,0,35.04
193.565,0.452613123581765,70.858038,-0.01,70.89,0,34.8
194.565,0.442176993665192,71.110902,-0.01,71.15,0,34.66
195.565,0.441971932866831,71.363766,-0.01,71.4,0,34.52
196.565,0.394271861728151,71.61663,-0.01,71.65,0,34.38
197.565,0.378243430896283,71.869494,-0.01,71.9,0,34.14
198.565,0.385170824080905,72.122358,-0.01,72.16,0,34
199.565,0.364454556926513,72.375222,-0.01,72.41,0,33.86
200.565,0.359909530802847,72.628086,-0.01,72.66,0,33.62
201.565,0.326156523392672,72.88095,-0.01,72.92,0,33.48
202.565,0.37363542181312,73.133814,-0.01,73.17,0,33.34
203.565,0.349587649045361,73.386678,-0.01,73.42,0,33.1
204.565,0.383741257372333,73.639542,-0.01,73.67,0,32.96
205.565,0.337743190860047,73.892406,-0.01,73.93,0,32.82
206.565,0.368940994250648,74.14527,-0.01,74.18,0,32.68
207.565,0.372712648220497,74.398134,-0.01,74.43,0,32.44
208.565,0.33493825208247,74.650998,-0.01,74.69,0,32.3
209.565,0.359749876324123,74.903862,-0.01,74.94,0,32.16
210.565,0.346932844066583,75.156726,-0.01,75.19,0,31.92
211.565,0.333833120851304,75.40959,-0.01,75.44,0,31.78
212.565,0.350995244954108,75.662454,-0.01,75.7,0,31.64
213.565,0.327513586461823,75.915318,-0.01,75.95,0,31.4
214.565,0.316728853188037,76.168182,-0.01,76.2,0,31.26
215.565,0.30353758497349,76.421046,-0.01,76.46,0,31.1199999999999
216.565,0.320646246796721,76.67391,-0.01,76.71,0,30.88
217.565,0.307646124540646,76.926774,-0.01,76.96,0,30.74
218.565,0.305345781799035,77.179638,-0.01,77.21,0,30.6
219.565,0.304770146843636,77.432502,-0.01,77.47,0,30.36
220.565,0.292569761701168,77.685366,-0.01,77.72,0,30.2199999999999
221.565,0.270364606678678,77.93823,-0.01,77.97,0,30.08
222.565,0.294854724882901,78.191094,-0.01,78.23,0,29.84
223.565,0.276328214111004,78.443958,-0.01,78.48,0,29.7
224.565,0.275676413716215,78.696822,-0.01,78.73,0,29.56
225.565,0.272708158659943,78.949686,-0.01,78.98,0,29.32
226.565,0.274561761805125,79.20255,-0.01,79.24,0,29.18
227.565,0.258757433131467,79.455414,-0.01,79.49,0,28.94
228.565,0.265671643836194,79.708278,-0.01,79.74,0,28.8
229.565,0.266295614551206,79.961142,-0.01,80,0,28.66
230.565,0.265757329955509,80.214006,-0.01,80.25,0,28.42
231.565,0.256936786186021,80.46687,-0.01,80.5,0,28.28
232.565,0.237217993343655,80.719734,-0.01,80.75,0,28.14
233.565,0.249371507446499,80.972598,-0.01,81.01,0,27.9
234.565,0.249213317687763,81.225462,-0.01,81.26,0,27.76
235.565,0.232609251900498,81.478326,-0.01,81.51,0,27.52
236.565,0.232300928342963,81.73119,-0.01,81.77,0,27.38
237.565,0.220641757236167,81.984054,-0.01,82.02,0,27.24
238.565,0.222999956417316,82.236918,-0.00969186046511628,82.27,9.347E-5,27
239.565,0.226327067870718,82.489782,-0.00917722868217054,82.52,2.503E-4,26.86
240.565,0.222255878663264,82.742646,-0.00863953488372093,82.78,4.152E-4,26.7199999999999
241.565,0.202267577343052,82.99551,-0.00807945736434109,83.03,5.879E-4,26.4799999999999
242.565,0.216459981669597,83.248374,-0.00749515503875969,83.28,7.69E-4,26.34
243.565,0.200791871954849,83.501238,-0.00688662790697674,83.54,9.587E-4,26.1
244.565,0.195430264437711,83.754102,-0.00625290697674419,83.79,0.00116,25.96
245.565,0.188793618170765,84.006966,-0.00559496124031008,84.04,0.00136,25.82
246.565,0.173107931816158,84.25983,-0.0049108527131783,84.29,0.00158,25.58
247.565,0.175808143114572,84.512694,-0.00420058139534884,84.55,0.00181,25.44
248.565,0.154886082801825,84.765558,-0.00346317829457364,84.8,0.00204,25.2
249.565,0.159776050482734,85.018422,-0.00269961240310078,85.05,0.00229,25.06
250.565,0.147810020538392,85.271286,-0.00190794573643411,85.31,0.00254,24.92
251.565,0.136831211866157,85.52415,-0.00108720930232558,85.56,0.00281,24.68
252.565,0.131490110428855,85.777014,-2.42248062015504E-4,85.81,0.00309,24.54
253.565,0.115671134555313,86.029878,6.3953488372093E-4,86.06,0.00338,24.3
254.565,0.105534539876346,86.282742,0.00155038759689922,86.32,0.00368,24.16
255.565,0.102928803017177,86.535606,0.00248062015503876,86.57,0.00399,24.02
256.565,0.0962906920302424,86.78847,0.00344961240310078,86.82,0.00431,23.78
257.565,0.0830671999759523,87.041334,0.00444767441860465,87.08,0.00465,23.64
258.565,0.0763551206296094,87.294198,0.00548449612403101,87.33,0.005,23.4
259.565,0.0735998358596354,87.547062,0.0065406976744186,87.58,0.00536,23.26
260.565,0.0694299245249701,87.799926,0.00763565891472868,87.83,0.00574,23.02
261.565,0.0568179530657915,88.05279,0.00875968992248062,88.09,0.00613,22.88
262.565,0.051992579536366,88.305654,0.00992248062015504,88.34,0.00653,22.74
263.565,0.0503263873136857,88.558518,0.0111143410852713,88.59,0.00695,22.5
264.565,0.0399358834247485,88.811382,0.0123449612403101,88.85,0.00738,22.36
265.565,0.0376214061352507,89.064246,0.0136143410852713,89.1,0.00783,22.1199999999999
266.565,0.0309347396807045,89.31711,0.0149127906976744,89.35,0.00829,21.98
267.565,0.0308119961456858,89.569974,0.0162403100775194,89.6,0.00876,21.74
268.565,0.0267369986662617,89.822838,0.0176065891472868,89.86,0.00925,21.6
269.565,0.0225222668999547,90.075702,0.0190213178294574,90.11,0.00976,21.46
270.565,0.0227194182103787,90.328566,0.0204554263565891,90.36,0.01028,21.2199999999999
271.565,0.0191370792990162,90.58143,0.021937984496124,90.62,0.01082,21.08
272.565,0.0159264130846826,90.834294,0.0234593023255814,90.87,0.01137,20.84
273.565,0.014185080726603,91.087158,0.0250096899224806,91.12,0.01194,20.7
274.565,0.0138192669095274,91.340022,0.0265988372093023,91.38,0.01253,20.46
275.565,0.0118465820292972,91.592886,0.0282364341085271,91.63,0.01314,20.32
276.565,0.0100078457919963,91.84575,0.0299031007751938,91.88,0.01376,20.18
277.565,0.010334991001381,92.098614,0.0316085271317829,92.13,0.0144,19.94
278.565,0.0102468880940853,92.351478,0.0333624031007752,92.39,0.01506,19.8
279.565,0.00974397648610566,92.604342,0.0351550387596899,92.64,0.01574,19.56
280.565,0.00887246809307258,92.857206,0.0369767441860465,92.89,0.01643,19.42
281.565,0.00679410366568724,93.11007,0.0388468992248062,93.15,0.01714,19.18
282.565,0.00901828096790695,93.362934,0.0407558139534884,93.4,0.01787,19.04
283.565,0.00633901516532527,93.615798,0.0427131782945736,93.65,0.01863,18.8
284.565,0.005646788498859,93.868662,0.0447093023255814,93.9,0.0194,18.66
285.565,0.00541836541668504,94.121526,0.0467441860465116,94.16,0.02019,18.52
286.565,0.00690351824881257,94.37439,0.0488178294573643,94.41,0.021,18.28
287.565,0.00431133004953479,94.627254,0.0509399224806202,94.66,0.02184,18.14
288.565,0.00491479468471063,94.880118,0.0531007751937984,94.92,0.02269,17.9
289.565,0.00357230557944263,95.132982,0.0553003875968992,95.17,0.02356,17.76
290.565,0.00334234454128096,95.385846,0.0575484496124031,95.42,0.02445,17.42
291.565,0.00413241450296506,95.63871,0.0598449612403101,95.67,0.02537,17.28
292.565,0.00399538994806045,95.891574,0.0621705426356589,95.93,0.02631,17.04
293.565,0.00353305108375643,96.144438,0.0645542635658915,96.18,0.02726,16.9
294.565,0.00362737905100236,96.397302,0.0669767441860465,96.43,0.02824,16.76
295.565,0.0034422384444824,96.650166,0.069437984496124,96.69,0.02923,16.52
296.565,0.00311860856306953,96.90303,0.0719476744186047,96.94,0.03025,16.38
297.565,0.00330638566556842,97.155894,0.0745058139534884,97.19,0.0313,16.14
298.565,0.00367974279058376,97.408758,0.0771027131782946,97.44,0.03236,16
