ev	intensity	ev	intensity
		319.296	2.24E-04
		319.682	2.07E-04
		320.068	1.90E-04
		320.454	1.76E-04
		320.84	1.63E-04
		321.226	1.51E-04
		321.612	1.41E-04
		321.998	1.33E-04
		322.384	1.25E-04
		322.77	1.19E-04
		323.156	1.15E-04
		323.542	1.11E-04
		323.928	1.08E-04
		324.314	1.07E-04
		324.7	1.06E-04
		325.086	1.06E-04
		325.472	1.07E-04
		325.858	1.09E-04
		326.244	1.11E-04
		326.63	1.14E-04
		327.016	1.18E-04
		327.402	1.22E-04
		327.788	1.27E-04
		328.174	1.32E-04
		328.56	1.38E-04
		328.946	1.44E-04
		329.332	1.50E-04
		329.718	1.56E-04
		330.104	1.63E-04
		330.49	1.70E-04
		330.876	1.77E-04
		331.262	1.84E-04
		331.648	1.91E-04
		332.034	1.99E-04
		332.42	2.06E-04
		332.806	2.13E-04
		333.192	2.21E-04
		333.578	2.28E-04
		333.964	2.35E-04
		334.35	2.42E-04
		334.736	2.49E-04
		335.122	2.56E-04
		335.508	2.62E-04
		335.894	2.68E-04
		336.28	2.75E-04
		336.666	2.80E-04
		337.052	2.86E-04
		337.438	2.92E-04
		337.824	2.97E-04
		338.21	3.02E-04
		338.596	3.06E-04
		338.982	3.11E-04
		339.368	3.15E-04
		339.754	3.18E-04
		340.14	3.22E-04
		340.526	3.25E-04
		340.912	3.28E-04
		341.298	3.30E-04
		341.684	3.32E-04
		342.07	3.34E-04
		342.456	3.36E-04
		342.842	3.37E-04
		343.228	3.38E-04
		343.614	3.39E-04
		344	3.39E-04
		344.386	3.39E-04
		344.772	3.39E-04
		345.158	3.38E-04
		345.544	3.37E-04
		345.93	3.36E-04
		346.316	3.34E-04
		346.702	3.33E-04
		347.088	3.31E-04
		347.474	3.29E-04
		347.86	3.26E-04
		348.246	3.23E-04
		348.632	3.20E-04
		349.018	3.17E-04
		349.404	3.14E-04
		349.79	3.11E-04
		350.176	3.07E-04
		350.562	3.03E-04
		350.948	2.99E-04
		351.334	2.94E-04
		351.72	2.90E-04
		352.106	2.86E-04
		352.492	2.81E-04
		352.878	2.76E-04
		353.264	2.71E-04
		353.65	2.66E-04
		354.036	2.61E-04
		354.422	2.56E-04
		354.808	2.51E-04
		355.194	2.45E-04
		355.58	2.40E-04
		355.966	2.35E-04
		356.352	2.29E-04
		356.738	2.24E-04
		357.124	2.18E-04
		357.51	2.13E-04
		357.896	2.07E-04
		358.282	2.02E-04
		358.668	1.96E-04
		359.054	1.90E-04
		359.44	1.85E-04
		359.826	1.79E-04
		360.212	1.74E-04
		360.598	1.68E-04
		360.984	1.63E-04
		361.37	1.58E-04
		361.756	1.52E-04
		362.142	1.47E-04
		362.528	1.42E-04
		362.914	1.37E-04
		363.3	1.32E-04
		363.686	1.27E-04
		364.072	1.22E-04
		364.458	1.17E-04
		364.844	1.12E-04
		365.23	1.08E-04
		365.616	1.03E-04
		366.002	9.88E-05
		366.388	9.44E-05
		366.774	9.01E-05
		367.16	8.59E-05
		367.546	8.18E-05
		367.932	7.78E-05
