Comments,,"Normalize to [0, 1] of B",,,,
919,356.738,2.23567684800289E-4,302.8,2.802,0.04113,1.885
920,357.124,2.1814567142599E-4,303.5,2.733,0.04126,1.875
921,357.51,2.12542924272547E-4,304.2,2.664,0.04132,1.866
922,357.896,2.06940177119104E-4,305,2.594,0.04133,1.856
923,358.282,2.01518163744804E-4,305.7,2.525,0.04129,1.847
924,358.668,1.95915416591361E-4,306.5,2.456,0.04121,1.837
925,359.054,1.90312669437918E-4,307.2,2.386,0.04107,1.828
926,359.44,1.84890656063618E-4,308,2.317,0.04089,1.818
927,359.826,1.79342129043918E-4,308.8,2.249,0.04066,1.809
928,360.212,1.7388396891379E-4,309.5,2.18,0.04039,1.799
929,360.598,1.68443882161576E-4,310.3,2.112,0.04008,1.79
930,360.984,1.63058015543105E-4,311.1,2.045,0.03973,1.78
931,361.37,1.57708295680463E-4,311.8,1.978,0.03935,1.771
932,361.756,1.52412795951563E-4,312.6,1.912,0.03892,1.761
933,362.142,1.47189589734321E-4,313.4,1.846,0.03847,1.752
934,362.528,1.42002530272908E-4,314.2,1.781,0.03799,1.743
935,362.914,1.36887764323152E-4,315,1.717,0.03747,1.733
936,363.3,1.31845291885053E-4,315.7,1.654,0.03693,1.724
937,363.686,1.26875112958612E-4,316.5,1.592,0.03636,1.714
938,364.072,1.21995300921742E-4,317.3,1.531,0.03577,1.705
939,364.458,1.17169709018616E-4,318.1,1.471,0.03516,1.695
940,364.844,1.12434484005061E-4,318.9,1.411,0.03453,1.685
941,365.23,1.07789625881077E-4,319.7,1.353,0.03388,1.676
942,365.616,1.03235134646665E-4,320.5,1.296,0.03321,1.666
943,366.002,9.87529369239111E-5,321.3,1.24,0.03252,1.657
944,366.388,9.43791794686427E-5,322.2,1.185,0.03183,1.647
945,366.774,9.0095788902946E-5,323,1.132,0.03112,1.637
946,367.16,8.59027652268209E-5,323.8,1.079,0.0304,1.628
947,367.546,8.18181818181818E-5,324.6,1.028,0.02967,1.618
948,367.932,7.78239652991144E-5,325.4,0.9778,0.02893,1.609
949,368.318,7.39201156696186E-5,326.3,0.929,0.02819,1.599
950,368.704,7.01427796855232E-5,327.1,0.8814,0.02744,1.589
951,369.09,6.64377372130851E-5,327.9,0.8352,0.02669,1.58
952,369.476,6.2841135008133E-5,328.8,0.7901,0.02593,1.57
953,369.862,5.93529730706669E-5,329.6,0.7464,0.02518,1.561
954,370.248,5.59732514006868E-5,330.5,0.7039,0.02443,1.551
955,370.634,5.26838966202783E-5,331.3,0.6627,0.02367,1.542
956,371.02,4.95029821073559E-5,332.2,0.6228,0.02292,1.532
957,371.406,4.64124344840051E-5,333,0.5842,0.02218,1.523
958,371.792,4.34303271281402E-5,333.9,0.5468,0.02144,1.513
959,372.178,4.05566600397614E-5,334.7,0.5106,0.0207,1.504
960,372.564,3.77733598409543E-5,335.6,0.4757,0.01997,1.494
961,372.95,3.50804265317188E-5,336.5,0.442,0.01925,1.485
962,373.336,3.24959334899693E-5,337.3,0.4096,0.01854,1.476
963,373.722,3.00018073377914E-5,338.2,0.3783,0.01784,1.466
964,374.108,2.76161214530996E-5,339.1,0.3483,0.01714,1.457
965,374.494,2.53027290800651E-5,339.9,0.3194,0.01646,1.448
966,374.88,2.30977769745165E-5,340.8,0.2917,0.01579,1.439
967,375.266,2.09831917585397E-5,341.7,0.2651,0.01513,1.43
968,375.652,1.89589734321345E-5,342.6,0.2397,0.01449,1.421
969,376.038,1.70124706307609E-5,343.5,0.2153,0.01386,1.412
970,376.424,1.5156334718959E-5,344.4,0.192,0.01325,1.403
971,376.81,1.33851436833544E-5,345.2,0.1697,0.01265,1.395
972,377.196,1.16952828483644E-5,346.1,0.1485,0.01207,1.386
973,377.582,1.00849448761974E-5,347,0.1283,0.01151,1.377
974,377.968,8.55232242906199E-6,347.9,0.109,0.01097,1.369
975,378.354,7.09560816916682E-6,348.8,0.0907,0.01046,1.36
976,378.74,5.7129947587204E-6,349.7,0.07331,0.009989,1.352
977,379.126,4.40086752213989E-6,350.6,0.05681,0.009597,1.343
978,379.512,3.15741912163383E-6,351.5,0.04117,0.009434,1.335
979,379.898,1.98084221941081E-6,352.5,0.02746,0.01075,1.325
980,380.284,8.68787276341948E-7,353.4,0.01939,0.00603,1.321
981,380.67,0,354.3,0.01187,0,1.317
982,381.056,0,355.2,0.005204,0,1.313
983,381.442,0,356.1,0,0,0
984,381.828,0,357,0,0,0
985,382.214,0,358,0,0,0
986,382.6,0,358.9,0,0,0
987,382.986,0,359.8,0,0,0
988,383.372,0,360.7,0,0,0
989,383.758,0,361.7,0,0,0
990,384.144,0,362.6,0,0,0
991,384.53,0,363.5,0,0,0
992,384.916,0,364.4,0,0,0
993,385.302,0,365.4,0,0,0
994,385.688,0,366.3,0,0,0
995,386.074,0,367.2,0,0,0
996,386.46,0,368.2,0,0,0
997,386.846,0,369.1,0,0,0
998,387.232,0,370.1,0,0,0
999,387.618,0,371,0,0,0
1000,388.004,0,371.9,0,0,0
1001,388.39,0,372.9,0,0,0
1002,388.776,0,373.8,0,0,0
1003,389.162,0,374.8,0,0,0
1004,389.548,0,375.7,0,0,0
1005,389.934,0,376.7,0,0,0
1006,390.32,0,377.6,0,0,0
1007,390.706,0,378.5,0,0,0
1008,391.092,0,379.5,0,0,0
1009,391.478,0,380.4,0,0,0
1010,391.864,0,381.4,0,0,0
1011,392.25,0,382.3,0,0,0
1012,392.636,0,383.3,0,0,0
1013,393.022,0,384.2,0,0,0
1014,393.408,0,385.2,0,0,0
1015,393.794,0,386.1,0,0,0
1016,394.18,0,387.1,0,0,0
1017,394.566,0,388,0,0,0
1018,394.952,0,389,0,0,0
1019,395.338,0,389.9,0,0,0
1020,395.724,0,390.9,0,0,0
1021,396.11,0,391.8,0,0,0
1022,396.496,0,392.7,0,0,0
1023,396.882,0,393.7,0.1051,0,1.227
1024,397.268,0,394.6,0.186,0,1.795
