Comments,,"Normalize to [0, 1] of B",,,,
346,135.56,0.997469727091993,-172.1,12500,8.008,0.5685
347,135.946,0.996385324417133,-171.1,12480,9.299,0.6265
348,136.332,0.99512018796313,-170,12470,10.6,0.6701
349,136.718,0.993674317729984,-168.9,12450,11.91,0.7042
350,137.104,0.99186697993855,-167.8,12430,13.21,0.7314
351,137.49,0.990059642147117,-166.8,12410,14.51,0.7537
352,137.876,0.98807157057654,-165.7,12380,15.8,0.7723
353,138.262,0.985902765226821,-164.6,12350,17.08,0.788
354,138.648,0.983553226097958,-163.6,12320,18.35,0.8014
355,139.034,0.980842219410808,-162.5,12290,19.61,0.813
356,139.42,0.978131212723658,-161.4,12260,20.85,0.8232
357,139.806,0.975239472257365,-160.3,12220,22.08,0.8321
358,140.192,0.972166998011928,-159.3,12180,23.29,0.84
359,140.578,0.968913789987349,-158.2,12140,24.48,0.8471
360,140.964,0.965479848183625,-157.1,12100,25.65,0.8534
361,141.35,0.962045906379902,-156.1,12050,26.81,0.8591
362,141.736,0.958250497017892,-155,12010,27.95,0.8642
363,142.122,0.954455087655883,-153.9,11960,29.06,0.8689
364,142.508,0.950298210735586,-152.8,11910,30.16,0.8731
365,142.894,0.94614133381529,-151.8,11860,31.24,0.877
366,143.28,0.94180372311585,-150.7,11800,32.29,0.8805
367,143.666,0.937466112416411,-149.6,11750,33.32,0.8838
368,144.052,0.932767034158684,-148.6,11690,34.33,0.8867
369,144.438,0.928067955900958,-147.5,11630,35.32,0.8895
370,144.824,0.923188143864088,-146.4,11570,36.29,0.892
371,145.21,0.918127598048075,-145.4,11500,37.23,0.8943
372,145.596,0.912886318452919,-144.3,11440,38.14,0.8965
373,145.982,0.907645038857762,-143.2,11370,39.04,0.8985
374,146.368,0.902223025483463,-142.2,11310,39.91,0.9004
375,146.754,0.896801012109163,-141.1,11240,40.75,0.9021
376,147.14,0.89119826495572,-140,11170,41.57,0.9038
377,147.526,0.885414784023134,-139,11090,42.36,0.9053
378,147.912,0.879631303090547,-137.9,11020,43.13,0.9067
379,148.298,0.873667088378818,-136.8,10950,43.87,0.9081
380,148.684,0.867702873667088,-135.8,10870,44.59,0.9094
381,149.07,0.861557925176215,-134.7,10790,45.28,0.9106
382,149.456,0.855232242906199,-133.6,10720,45.95,0.9117
383,149.842,0.848906560636183,-132.6,10640,46.59,0.9128
384,150.228,0.842580878366167,-131.5,10560,47.21,0.9139
385,150.614,0.836074462317007,-130.5,10480,47.79,0.9149
386,151,0.829387312488704,-129.4,10390,48.36,0.9158
387,151.386,0.822880896439544,-128.3,10310,48.89,0.9168
388,151.772,0.816013012832098,-127.3,10230,49.4,0.9177
389,152.158,0.809325863003795,-126.2,10140,49.89,0.9186
390,152.544,0.802457979396349,-125.1,10060,50.35,0.9194
391,152.93,0.795590095788903,-124.1,9969,50.78,0.9203
392,153.316,0.788541478402313,-123,9882,51.19,0.9211
393,153.702,0.781492861015724,-122,9794,51.57,0.9219
394,154.088,0.774444243629134,-120.9,9706,51.93,0.9228
395,154.474,0.767395626242545,-119.8,9617,52.26,0.9236
396,154.86,0.760166275076812,-118.8,9527,52.56,0.9244
397,155.246,0.752936923911079,-117.7,9437,52.84,0.9252
398,155.632,0.745707572745346,-116.7,9346,53.1,0.926
399,156.018,0.738478221579613,-115.6,9255,53.33,0.9268
400,156.404,0.73124887041388,-114.6,9164,53.54,0.9276
401,156.79,0.723838785469004,-113.5,9072,53.73,0.9284
402,157.176,0.716428700524128,-112.5,8980,53.89,0.9292
403,157.562,0.709199349358395,-111.4,8887,54.02,0.93
404,157.948,0.701789264413519,-110.3,8795,54.14,0.9309
405,158.334,0.694379179468643,-109.3,8702,54.23,0.9317
406,158.72,0.686969094523766,-108.2,8609,54.3,0.9326
407,159.106,0.67955900957889,-107.2,8516,54.35,0.9334
408,159.492,0.672148924634014,-106.1,8423,54.37,0.9343
409,159.878,0.664738839689138,-105.1,8330,54.38,0.9352
410,160.264,0.657148020965118,-104,8237,54.36,0.9361
411,160.65,0.649737936020242,-103,8144,54.32,0.937
412,161.036,0.642327851075366,-101.9,8051,54.26,0.9379
